,rank,sum_expose,sum_click,ctr
1252,362,11103,40,0.0036026299198410002
1100,363,9887,40,0.0040457165975520005
653,364,9875,43,0.0043544303797460005
132,365,9870,51,0.005167173252279
801,366,9864,33,0.003345498783454
525,367,9862,38,0.0038531737984180002
1834,368,9859,41,0.004158636778577
1664,369,9859,34,0.0034486256212590003
1446,370,9855,39,0.003957382039573
530,371,9852,47,0.004770604953308001
1967,372,9851,36,0.0036544513247380003
1736,373,9847,27,0.0027419518635110004
1553,374,9844,31,0.003149126371393
210,375,9843,22,0.002235090927562
1266,376,9842,30,0.0030481609428970003
1149,377,9836,38,0.0038633590890600005
664,378,9835,42,0.004270462633451
85,379,9834,37,0.003762456782591
806,380,9832,33,0.0033563873067530003
1447,381,9795,28,0.0028586013272070003
316,382,9792,25,0.002553104575163
1253,383,8766,33,0.0037645448323060005
1101,384,8762,23,0.002624971467701
654,385,8759,28,0.003196711953419
133,386,8752,31,0.0035420475319920004
802,387,8750,32,0.003657142857142
526,388,8749,41,0.004686249857126
1835,389,8741,26,0.002974488044846
1665,390,8726,22,0.0025212010084800004
993,391,8723,36,0.004127020520463
554,392,8720,33,0.003784403669724
1826,393,8718,21,0.002408809359944
1784,394,8717,31,0.003556269358724
1509,395,8716,32,0.0036714089031660005
257,396,8715,24,0.0027538726333900003
1363,397,8714,33,0.0037870094101440004
1045,398,8713,35,0.004016986112705
670,399,8713,25,0.0028692757947890004
155,400,8713,22,0.002524962699414
795,401,8674,19,0.0021904542310350003
58,402,8671,27,0.003113827701533
937,403,7797,29,0.0037193792484280005
409,404,7795,27,0.0034637588197560004
1817,405,7793,24,0.0030796868984980003
1756,406,7792,31,0.003978439425051
1582,407,7785,34,0.0043673731535
360,408,7782,17,0.002184528398869
1226,409,7780,20,0.0025706940874030003
1026,410,7767,24,0.003089996137504
1658,411,7750,34,0.0043870967741930006
1559,412,7732,29,0.0037506466632170003
252,413,7683,22,0.002863464792398
1392,414,7668,33,0.004303599374021
1135,415,7667,21,0.0027390113473320004
705,416,7663,23,0.0030014354691370003
169,417,7662,22,0.0028713129731140004
852,418,7661,36,0.004699125440543001
517,419,7661,22,0.00287168776922
1981,420,7657,20,0.0026119890296460004
1301,421,7624,24,0.00314795383001
1079,422,7622,25,0.003279979008134
732,423,6796,17,0.0025014714537960002
110,424,6792,32,0.004711425206124001
878,425,6790,21,0.0030927835051540002
401,426,6788,23,0.003388332351208
1898,427,6787,17,0.0025047885663760003
1706,428,6784,28,0.004127358490566
1523,429,6774,19,0.002804842043105
266,430,6770,16,0.002363367799113
1807,431,6767,21,0.003103295404167
1745,432,6767,26,0.003842175262302
1531,433,6764,26,0.0038438793613240004
307,434,6763,15,0.002217950613633
1367,435,6757,23,0.003403877460411
1032,436,6754,24,0.0035534498075210003
644,437,6749,25,0.0037042524818490003
56,438,6745,15,0.0022238695329870003
997,439,6740,21,0.0031157270029670003
558,440,6739,24,0.0035613592521140003
972,441,6725,27,0.004014869888475
549,442,6722,20,0.0029753049687590003
1936,443,6076,19,0.003127057274522
1668,444,6076,29,0.004772876892692001
1580,445,6073,21,0.003457928536143
309,446,6073,22,0.0036225917997690003
1210,447,6070,20,0.0032948929159800004
1119,448,6069,15,0.00247157686604
754,449,6068,25,0.004119973632168
24,450,6068,16,0.0026367831245880003
285,451,6067,18,0.0029668699522000003
1314,452,6063,24,0.003958436417615
1091,453,6061,22,0.003629764065335
626,454,6060,24,0.003960396039603
31,455,6060,17,0.0028052805280520004
818,456,6059,23,0.0037960059415740005
588,457,6058,14,0.002310993727302
1925,458,6057,18,0.0029717682020800004
1702,459,6055,18,0.0029727497935590004
1495,460,6055,15,0.0024772914946320002
86,461,6028,28,0.004644990046449001
807,462,6026,16,0.002655160969133
531,463,5486,13,0.0023696682464450004
1968,464,5485,18,0.003281677301731
1737,465,5484,13,0.0023705324580590003
1554,466,5483,15,0.002735728615721
211,467,5482,17,0.0031010580080260003
1267,468,5482,17,0.0031010580080260003
1150,469,5482,15,0.0027362276541400003
665,470,5482,23,0.004195549069682
1424,471,5480,14,0.0025547445255470003
385,472,5478,23,0.004198612632347
1386,473,5476,19,0.0034696859021180002
1050,474,5474,19,0.00347095359883
788,475,5474,20,0.0036536353671900003
19,476,5474,22,0.004018998903909
893,477,5471,20,0.003655638822884
544,478,5466,13,0.0023783388218070003
1868,479,5464,14,0.0025622254758410003
1789,480,5462,18,0.0032954961552540004
1565,481,5446,13,0.00238707308116
201,482,5445,25,0.004591368227731
1201,483,4953,13,0.0026246719160100004
1024,484,4952,14,0.002827140549273
630,485,4951,21,0.004241567360129
35,486,4950,17,0.0034343434343430002
888,487,4949,13,0.0026267932915740003
487,488,4949,21,0.004243281471004
1916,489,4949,7,0.001414427157001
1674,490,4949,12,0.0024247322691450003
837,491,4948,16,0.0032336297493930004
560,492,4948,18,0.003637833468067
1800,493,4945,13,0.002628918099089
1766,494,4945,19,0.003842264914054
1585,495,4943,21,0.004248432126239
377,496,4943,12,0.002427675500708
1369,497,4943,14,0.002832288084159
1124,498,4943,13,0.0026299817924330003
749,499,4942,18,0.003642250101173
150,500,4941,10,0.002023881805302
1794,501,4919,10,0.002032933523073
1590,502,4919,9,0.001829640170766
319,503,4476,9,0.002010723860589
1220,504,4474,19,0.0042467590523020005
1129,505,4473,15,0.003353454057679
694,506,4473,4,0.000894254415381176
142,507,4472,12,0.002683363148479
821,508,4471,16,0.0035786177588900004
452,509,4470,14,0.003131991051454
1879,510,4460,14,0.003139013452914
8,511,4458,15,0.0033647375504710004
863,512,4458,18,0.004037685060565
482,513,4457,12,0.0026923939869860003
1951,514,4457,16,0.0035898586493150002
1748,515,4456,15,0.003366247755834
1451,516,4456,14,0.0031418312387790004
241,517,4454,11,0.002469690166142
1349,518,4452,14,0.00314465408805
1067,519,4452,11,0.00247079964061
720,520,4444,11,0.0024752475247520004
1058,521,4434,12,0.0027063599458720003
712,522,4433,8,0.0018046469659370001
67,523,4063,13,0.0031996062023130004
828,524,4063,17,0.004184100418410001
464,525,4063,5,0.0012306177701200001
1909,526,4061,3,0.0007387343018960847
1618,527,4061,15,0.0036936715094800002
1577,528,4060,14,0.003448275862068
280,529,4059,5,0.001231830500123
1240,530,4059,14,0.003449125400344
1963,531,4058,8,0.001971414489896
1611,532,4057,13,0.003204338180921
1547,533,4057,14,0.0034508257333000004
389,534,4054,7,0.0017266896891950001
1283,535,4054,14,0.0034533793783910003
1167,536,4054,14,0.0034533793783910003
659,537,4053,10,0.0024673081667900003
105,538,4050,9,0.002222222222222
943,539,4049,11,0.0027167201778210003
417,540,4048,12,0.0029644268774700003
226,541,4036,10,0.0024777006937560003
1329,542,4035,9,0.0022304832713750003
1012,543,3709,8,0.0021569156106760004
634,544,3707,10,0.0026975991367680003
46,545,3707,10,0.0026975991367680003
968,546,3707,11,0.0029673590504450003
570,547,3705,11,0.0029689608636970003
1811,548,3705,12,0.0032388663967610003
1686,549,3702,5,0.001350621285791
1500,550,3701,5,0.00135098621994
402,551,3701,7,0.0018913807079160001
1899,552,3700,11,0.0029729729729720002
1707,553,3698,8,0.0021633315305570004
1525,554,3697,7,0.0018934271030560002
267,555,3697,11,0.0029753854476600003
1302,556,3697,14,0.0037868542061130005
1080,557,3697,8,0.002163916689207
733,558,3697,9,0.0024344062753580004
111,559,3696,6,0.001623376623376
879,560,3695,13,0.0035182679296340003
179,561,3685,8,0.0021709633649930004
955,562,3683,17,0.0046158023350520005
426,563,3390,16,0.004719764011799001
1933,564,3390,8,0.0023598820058990003
1679,565,3390,11,0.0032448377581120002
1514,566,3390,8,0.0023598820058990003
262,567,3390,7,0.0020648967551620003
1345,568,3390,7,0.0020648967551620003
1097,569,3390,9,0.0026548672566370003
773,570,3390,4,0.001179941002949
1594,571,3390,6,0.001769911504424
378,572,3387,12,0.003542958370239
1370,573,3383,13,0.0038427431274010004
1125,574,3383,9,0.002660360626662
750,575,3381,4,0.001183081928423
151,576,3380,9,0.002662721893491
838,577,3378,14,0.004144464179988001
561,578,3377,7,0.002072845721054
1801,579,3377,15,0.0044418122594010005
1767,580,3374,4,0.0011855364552450002
738,581,3363,7,0.0020814748736240002
38,582,3363,7,0.0020814748736240002
918,583,3106,5,0.001609787508048
499,584,3105,9,0.0028985507246370003
1972,585,3104,7,0.0022551546391750004
1601,586,3103,6,0.0019336126329350001
1440,587,3102,10,0.003223726627981
346,588,3102,8,0.002578981302385
1318,589,3102,7,0.0022566086395870003
1037,590,3102,5,0.00161186331399
1622,591,3101,7,0.0022573363431150004
1465,592,3098,10,0.003227888960619
357,593,3098,9,0.0029051000645570002
1204,594,3096,14,0.004521963824289
1171,595,3096,5,0.0016149870801030002
700,596,3095,12,0.0038772213247170004
1,597,3094,6,0.001939237233354
872,598,3094,13,0.004201680672268
458,599,3094,8,0.0025856496444730003
1955,600,3094,10,0.003232062055591
518,601,3081,3,0.0009737098344693282
1982,602,3081,8,0.0025965595585840003
1659,603,2847,5,0.001756234632946
1560,604,2847,9,0.0031612223393040003
253,605,2847,7,0.0024587284861250004
1393,606,2847,9,0.0031612223393040003
1136,607,2847,15,0.00526870389884
706,608,2847,8,0.0028099754127150003
170,609,2847,11,0.003863716192483
853,610,2847,12,0.004214963119072
1216,611,2847,8,0.0028099754127150003
1062,612,2846,5,0.0017568517217140002
648,613,2846,5,0.0017568517217140002
158,614,2846,6,0.002108222066057
912,615,2846,7,0.0024595924104
468,616,2846,10,0.003513703443429
1843,617,2846,8,0.002810962754743
1645,618,2846,8,0.002810962754743
1471,619,2845,6,0.002108963093145
235,620,2845,8,0.002811950790861
960,621,2841,8,0.0028159098908830003
473,622,2841,9,0.0031678986272430003
1847,623,2635,4,0.001518026565464
1694,624,2634,11,0.0041761579347
1415,625,2634,7,0.0026575550493540003
340,626,2634,5,0.001898253606681
1227,627,2634,10,0.003796507213363
1072,628,2634,8,0.0030372057706900004
600,629,2633,7,0.0026585643752370003
125,630,2633,11,0.004177744018230001
227,631,2632,4,0.001519756838905
1330,632,2632,7,0.002659574468085
1013,633,2631,5,0.00190041809198
635,634,2628,7,0.002663622526636
47,635,2628,4,0.00152207001522
969,636,2626,5,0.0019040365575010002
571,637,2626,4,0.001523229246001
1812,638,2626,5,0.0019040365575010002
1687,639,2625,8,0.0030476190476190004
1501,640,2625,8,0.0030476190476190004
474,641,2619,4,0.001527300496372
1848,642,2618,9,0.0034377387318560004
1695,643,2443,4,0.001637331150225
1416,644,2443,6,0.0024559967253370003
341,645,2440,7,0.0028688524590160004
1228,646,2439,6,0.0024600246002460004
1073,647,2439,9,0.003690036900369
603,648,2437,7,0.002872384078785
126,649,2437,5,0.002051702913418
961,650,2437,8,0.003282724661469
1278,651,2436,4,0.0016420361247940002
1162,652,2436,7,0.00287356321839
691,653,2433,6,0.002466091245376
166,654,2432,9,0.003700657894736
949,655,2431,7,0.0028794734677080004
576,656,2431,7,0.0028794734677080004
1904,657,2430,7,0.002880658436213
1654,658,2430,6,0.002469135802469
1506,659,2429,4,0.001646768217373
332,660,2428,3,0.001235584843492
950,661,2419,8,0.0033071517155840004
577,662,2419,7,0.002893757751136
1905,663,2257,3,0.0013291980505090002
1655,664,2256,6,0.002659574468085
1507,665,2256,3,0.001329787234042
333,666,2256,3,0.001329787234042
1279,667,2255,4,0.0017738359201770002
1163,668,2255,5,0.002217294900221
692,669,2255,5,0.002217294900221
167,670,2254,7,0.0031055900621110005
368,671,2254,10,0.004436557231588
1374,672,2253,6,0.002663115845539
1190,673,2253,3,0.001331557922769
776,674,2253,4,0.001775410563692
190,675,2253,2,0.000887705281846427
842,676,2253,7,0.0031069684864620003
443,677,2250,8,0.003555555555555
1885,678,2250,3,0.001333333333333
1627,679,2250,7,0.0031111111111110003
1535,680,2250,4,0.001777777777777
1738,681,2241,5,0.00223114680946
1555,682,2241,5,0.00223114680946
212,683,2118,9,0.004249291784702
1268,684,2118,6,0.0028328611898010003
1151,685,2117,2,0.0009447331128956072
666,686,2117,10,0.004723665564478
87,687,2116,8,0.0037807183364830005
808,688,2116,3,0.0014177693761810001
532,689,2115,4,0.0018912529550820002
1969,690,2114,2,0.0009460737937559131
610,691,2114,3,0.0014191106906330001
77,692,2114,3,0.0014191106906330001
985,693,2113,5,0.002366303833412
585,694,2113,4,0.0018930430667290002
1830,695,2112,7,0.003314393939393
1754,696,2112,6,0.0028409090909090003
1402,697,2112,0,0.0
205,698,2111,3,0.0014211274277590002
1290,699,2110,9,0.004265402843601
1085,700,2110,7,0.003317535545023
1983,701,2105,2,0.0009501187648456057
1660,702,2105,7,0.003325415676959
1561,703,1979,5,0.002526528549772
254,704,1978,8,0.004044489383215001
1394,705,1978,4,0.0020222446916070003
1137,706,1978,7,0.0035389282103130003
707,707,1976,9,0.004554655870445
